name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54
Eagle (XIV-A),nsp_eagle_safeguard,Cruiser,XIV Battlegroup,maneuveringjets,14,8000,1000,11000,14000,700,160,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,0,0,150,100,3,33,8,100000,3,12,480,0.25,20,20,HIDE_IN_CODEX,"codex_unlockable, no_auto_penalty, do_not_restore",,0.5,2,3,,54,,,,,,,
Falcon (XIV-A),nsp_falcon_safeguard,Light Cruiser,XIV Battlegroup,maneuveringjets,12,6000,750,7000,8000,400,130,,80,70,50,20,25,650,FRONT,,270,0.4,0.8,,,0,0,120,100,3,33,9,80000,4,12,480,0.25,14,14,HIDE_IN_CODEX,"codex_unlockable, no_auto_penalty, do_not_restore",,0.5,2,3,,55,,,,,,,
Enforcer (XIV-A),nsp_enforcer_safeguard,Destroyer,XIV Battlegroup,burndrive,10,6000,900,4000,3333,200,120,,60,40,20,30,20,500,OMNI,,150,0.4,1,,,0,0,90,90,3,30,9,38000,5,12,420,0.25,9,9,HIDE_IN_CODEX,"codex_unlockable, no_auto_penalty, do_not_restore",,0.4,2,3,,56,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TEUTATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teutates,nsp_teutates,Dreadnought,Unknown,burndrive,90,40000,2500,35000,12500,2500,415,8,20,5,9,4,4,20000,PHASE,damper,0,0,0,0,0,0,0,2500,1000,20,40,9,25000000,3,12,2000,0.50,60,120,"UNBOARDABLE, HIDE_IN_CODEX, SHIP_WITH_MODULES","threat_aggressive, no_autofit, restricted",,0.2,2,2,,20,,,,,,,
Vambrace,nsp_teutates_prow,Vambrace Module,Unknown,,1,25000,5000,0,2500,100,0,,0,0,0,10,10,300,PHASE,damper,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,20000,4,7,,,,,,,,,
Module,nsp_teutates_midright,Vambrace Module,Unknown,fastmissileracks,1,25000,2000,0,2500,100,80,,0,0,0,10,10,300,PHASE,damper,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_refit_bright, always_detaches",,20000,4,7,,,,,,,,,
Module,nsp_teutates_midleft,Vambrace Module,Unknown,fastmissileracks,1,25000,2000,0,2500,100,80,,0,0,0,10,10,300,PHASE,damper,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_refit_bright, always_detaches",,20000,4,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#THREAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fabricator_unit,Fabricator Unit,Threat,construction_swarm,600,30000,2000,20000,25000,1000,240,,40,20,15,6,9,10000,OMNI,,150,0.4,1.2,,,0,0,2000,1000,1,1000,8,500000,1000,10,1200,0.25,65,65,,"threat, threat_fabricator, codex_unlockable, limited_tooltip_if_locked, full_cr_recovery, threat_rec, ship_unique_signature",,0.5,3,4,,,,,,,,,
,overseer_unit,Overseer Unit,Threat,energy_lash,25,5000,900,5000,5000,400,90,,90,90,70,30,60,350,OMNI,,150,0.4,1.2,,,0,0,40,100,0.5,200,9,100000,100,10,400,0.25,12,12,,"threat, threat_overseer, codex_unlockable, limited_tooltip_if_locked, ship_unique_signature",,0.5,2,3,,,,,,,,,
,assault_unit,Assault Unit,Threat,incursion_mode,12,7000,1000,6000,5000,400,115,,90,90,80,30,60,500,FRONT,,150,0.4,1.2,,,0,0,80,100,0.5,200,9,80000,100,10,340,0.25,10,10,,"threat, threat_aggressive, threat_combat, codex_unlockable, limited_tooltip_if_locked, ship_unique_signature",,0.5,2,2,,,,,,,,,
,hive_unit,Hive Unit,Threat,fragment_volley,20,16000,1600,10000,8333,500,100,,70,50,40,15,20,2000,FRONT,,210,0.4,1.2,,,0,0,150,150,0.75,200,10,200000,100,10,500,0.25,22,22,,"threat, threat_timid, threat_hive, codex_unlockable, limited_tooltip_if_locked, ship_unique_signature",,0.5,2,3,,,,,,,,,
,standoff_unit,Line Unit,Threat,extraction_protocol,18,18000,1700,12000,11667,700,200,,70,70,60,15,30,500,FRONT,,150,0.4,1.2,,,0,0,120,150,0.75,200,9,150000,100,10,600,0.25,28,28,,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked",,0.5,2,3,,,,,,,,,
,skirmish_unit,Skirmish Unit,Threat,displacer_threat,7,3000,600,2500,2500,200,40,,130,150,100,60,90,250,FRONT,,150,0.4,1.2,,,0,0,10,50,0.25,200,10,10000,100,10,240,0.25,8,8,,"threat, threat_combat, threat_skirmish, codex_unlockable, limited_tooltip_if_locked, ship_unique_signature",,0.5,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nsp_inthrictus,Siege Unit,Threat,lidararray,35,45000,10000,30000,12500,1200,370,,40,15,15,4,4,10000,PHASE,canister_flak,120,0.5,1.5,,,0,0,1000,800,24,40,6,700000,3,12,1200,0.25,85,85,NEVER_DODGE_MISSILES,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked, threat_rec, ship_unique_signature",,0.2,2,2,,,,,,,,,
,nsp_threatribution,Pursuit Unit,Threat,displacer_threat,20,10000,800,15000,17500,700,275,,75,50,40,10,10,2500,OMNI,,60,0.2,1.2,,,0,0,200,300,10,30,8,200000,3,12,600,0.25,35,35,,"threat, threat_reckless, codex_unlockable, limited_tooltip_if_locked, threat_rec, ship_unique_signature",,0.5,2,4,,,,,,,,,
,nsp_throminator,Domination Unit,Threat,incursion_mode,15,14000,1500,10000,10000,500,165,,30,20,10,12,12,2250,OMNI,,120,0.4,1.4,,,0,0,150,150,5,30,8,125000,4,12,540,0.25,25,25,,"threat, threat_aggressive, codex_unlockable, limited_tooltip_if_locked, threat_rec, ship_unique_signature",,0.4,2,3,,,,,,,,,
,nsp_onthraught,Barrage Unit,Threat,burndrive,28,20000,1750,17000,15000,600,240,,30,10,10,4,4,3500,FRONT,,180,0.4,1.5,,,0,0,300,400,15,27,7,350000,3,12,720,0.25,40,40,,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked, threat_rec, ship_unique_signature",,0.4,2,3,,,,,,,,,
,nsp_thremlin,Hide Unit,Threat,displacer_threat,6,2500,450,1200,2000,160,35,,90,120,90,45,90,200,PHASE,phasecloak,,,,0.08,0.08,0,0,10,20,1,20,9,26000,10,20,180,0.25,6,6,,"threat, threat_aggressive, codex_unlockable, limited_tooltip_if_locked, threat_rec, ship_unique_signature",,0.5,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MK.1 HULLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legion Mk.1,nsp_legionmk1,Battlecarrier,Domain Restricted,combat_burn,28,30000,1200,12000,12500,400,270,4,20,15,15,6,6,3500,NONE,,,,,,,800,1500,300,300,15,20,7,375000,3,10,,,50,50,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX, SHIP_WITH_MODULES","no_auto_penalty, codex_unlockable, ship_unique_signature",,0.4,2,2,,49,,,,,,,
,nsp_legionmk1_armorright,Vambrace Module,Domain Restricted,,1,14000,1200,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
,nsp_legionmk1_armorleft,Vambrace Module,Domain Restricted,,1,14000,1200,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
,nsp_legionmk1_armornoseright,Vambrace Module,Domain Restricted,,1,14000,1200,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
,nsp_legionmk1_armornoseleft,Vambrace Module,Domain Restricted,,1,14000,1200,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
Saros,nsp_saros,Heavy Fighter,Domain Restricted,canister_flak,,900,300,200,,100,0,,120,250,200,100,200,70,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,restricted,,1,2,4,,,,,,,,,
Dominator Mk.1,nsp_dominatormk1,Heavy Cruiser,Domain Restricted,combat_burn,15,20000,1000,10000,10000,400,170,,30,20,10,12,12,2250,NONE,,0,0,0,,,350,400,150,250,5,30,8,125000,4,12,,,30,30,"HIDE_IN_CODEX, SHIP_WITH_MODULES","no_auto_penalty, codex_unlockable, ship_unique_signature",,0.4,2,3,,50,,,,,,,
,nsp_dominatormk1_armorright,Vambrace Module,Domain Restricted,,1,13000,1000,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
,nsp_dominatormk1_armorleft,Vambrace Module,Domain Restricted,,1,13000,1000,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE","module_hull_bar_only, always_detaches, module_unselectable, module_refit_bright",,10000,2,4,,,,,,,,,
Onslaught Mk.I,onslaught_mk1,Battleship,Domain Restricted,combat_burn,28,30000,1200,15000,12500,500,300,,20,8,8,4,4,4000,NONE,,0,0,0,,,900,1800,700,800,10,80,7,300000,5,10,,,50,50,SHIP_WITH_MODULES,"no_auto_penalty, codex_unlockable, no_dealer",,0.4,2,4,,,,,,,,,
